No.,Name,Price,24H-Change,24H-Volume,Market-cap
0,Bitcoin,"$16,769.27",+4.06%,$317.37 B,$33.58 B
1,Ethereum,"$1,184.83",+7.48%,$143.23 B,$12.1 B
2,Tether,$1.01,+0.00%,$65.44 B,$47.84 B
3,BNB,$303.78,+16.91%,$47.74 B,$1.66 B
4,USD Coin,$1.00,+0.00%,$44.13 B,$4.17 B
5,Binance USD,$1.00,+0.02%,$22.76 B,$8.63 B
6,XRP,$0.3817,+4.05%,$18.88 B,$1.25 B
7,Cardano,$0.3189,+4.52%,$10.81 B,$352.54 M
8,Dogecoin,$0.08265,+9.16%,$10.79 B,$595.98 M
9,Polygon,$0.8746,+4.64%,$7.52 B,$592.23 M
10,Polkadot,$5.46,+6.90%,$6.12 B,$249.7 M
11,Dai,$1.01,-0.04%,$5.84 B,$329.68 M
12,Litecoin,$80.49,+25.75%,$5.67 B,$2.24 B
13,Wrapped TRON,$0.05105,+3.33%,$5.19 B,$2.47 M
14,Shiba Inu,$0.0000092,+8.25%,$4.93 B,$186.24 M
15,Solana,$13.82,+19.28%,$4.78 B,$720.24 M
16,HEX,$0.02763,+2.51%,$4.79 B,$4.25 M
17,TRON,$0.05098,+3.50%,$4.7 B,$545.54 M
18,Uniswap,$5.58,+8.17%,$4.16 B,$136.06 M
19,Lido stETH,"$1,148.80",+7.42%,$4.01 B,"$516,314"
20,UNUS SED LEO,$4.15,+9.30%,$3.96 B,$2.48 M
21,Wrapped Bitcoin,"$16,775.89",+4.88%,$3.83 B,$155.36 M
22,Avalanche,$12.92,+10.01%,$3.82 B,$201.88 M
23,Chainlink,$6.55,+7.67%,$3.27 B,$482.01 M
24,Cosmos,$9.96,+10.81%,$2.8 B,$149.21 M
25,Ethereum Classic,$20.28,+12.16%,$2.73 B,$334.7 M
26,Monero,$134.48,+4.99%,$2.45 B,$108.29 M
27,Stellar,$0.08937,+4.50%,$2.25 B,$62.93 M
28,Bitcoin Cash,$116.97,+7.97%,$2.2 B,$371.77 M
29,Toncoin,$1.74,+1.21%,$2.12 B,$6.76 M
30,Algorand,$0.2453,+4.65%,$1.72 B,$120.38 M
31,Cronos,$0.06803,+6.94%,$1.68 B,$25.02 M
32,Filecoin,$4.49,+6.68%,$1.43 B,$138.24 M
33,NEAR Protocol,$1.65,+7.96%,$1.35 B,$166.45 M
34,VeChain,$0.0191,+5.87%,$1.35 B,$38.77 M
35,Quant,$112.67,+5.12%,$1.33 B,$48.6 M
36,OKB,$21.44,+8.41%,$1.29 B,$20.19 M
37,Flow,$1.18,+7.25%,$1.2 B,$39.72 M
38,ApeCoin,$3.37,+13.47%,$1.2 B,$193.73 M
39,Frax,$0.9944,-0.04%,$1.17 B,$12.42 M
40,Chiliz,$0.186,+4.36%,$1.12 B,$431.29 M
41,Hedera,$0.04975,+5.47%,$1.08 B,$17.21 M
42,Wrapped BNB,$297.68,+16.66%,$1.08 B,$173.39 M
43,Internet Computer,$3.90,+6.83%,$1.05 B,$25.58 M
44,Elrond,$42.32,+4.34%,$989.36 M,$29.17 M
45,Luna Classic,$0.0001788,+9.06%,$969.68 M,$158.92 M
46,EOS,$0.9197,+7.74%,$972.3 M,$153.36 M
47,Pax Dollar,$0.9998,+0.26%,$945.43 M,$4.57 M
48,Chain,$0.04281,-0.15%,$919.34 M,$15.49 M
49,Tezos,$1.02,+7.69%,$909.69 M,$22.72 M
